time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.92344e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.729751	0.519955	6.69632	1.20998e-17	2.14651e-17	radar	73.2457	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16433	0.488734	6.69402	-0.00523917	-0.00315213	lidar	0.0850735	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.30125	0.514532	6.69034	0.066279	0.0407766	radar	1.99117	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63377	0.543788	6.68192	0.121358	0.0752782	lidar	0.390855	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84529	0.567873	6.68021	0.110878	0.0683556	radar	0.74832	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16723	0.625881	6.70484	0.177637	0.0854416	lidar	0.0941522	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.32995	0.662505	6.23673	0.186281	0.0728767	radar	3.60859	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6391	0.699019	6.24305	0.157966	0.046781	lidar	0.0961034	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89961	0.665496	5.60117	0.0685478	-0.179606	radar	2.91636	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.13413	0.668255	5.55426	0.052856	-0.192051	lidar	0.953702	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42305	0.55699	5.52	-0.117449	-0.748795	radar	2.25124	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73778	0.446322	5.60152	-0.255769	-1.09133	lidar	2.63053	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01914	0.526244	5.56537	-0.105654	-0.40741	radar	3.38369	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29539	0.523475	5.54999	-0.0930771	-0.310938	lidar	0.217656	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55171	0.566775	5.43857	-0.0402583	-0.136584	radar	1.68661	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72928	0.696462	5.24818	0.107281	0.260599	lidar	10.9911	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97968	0.701644	5.17722	0.0980644	0.211343	radar	2.02332	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28681	0.689807	5.25052	0.0677509	0.118898	lidar	3.0732	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54478	0.696447	5.28164	0.0648708	0.101279	radar	1.58275	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84296	0.706271	5.32853	0.0604306	0.0819306	lidar	1.71262	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08773	0.621882	5.24676	-0.0168583	-0.0686237	radar	4.38406	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.3409	0.748027	5.23382	0.0791174	0.103612	lidar	2.96138	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59021	0.784532	5.19201	0.095278	0.121543	radar	0.473644	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83943	0.774575	5.18037	0.0777401	0.0849002	lidar	0.42458	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
